0	1	2
Sentence3714	Rank 11 in student set	Rank 78 in baseline set
Sentence5729	Rank 22 in student set	Rank 23 in baseline set
Sentence6446	Rank 27 in student set	Rank 68 in baseline set
Sentence6447	Rank 28 in student set	Rank 24 in baseline set
Sentence320	Rank 30 in student set	Rank 25 in baseline set
Sentence1237	Rank 40 in student set	Rank 30 in baseline set
Sentence2463	Rank 53 in student set	Rank 34 in baseline set
Sentence2881	Rank 58 in student set	Rank 37 in baseline set
Sentence3247	Rank 61 in student set	Rank 43 in baseline set
Sentence3494	Rank 66 in student set	Rank 45 in baseline set
Sentence3979	Rank 71 in student set	Rank 47 in baseline set
Sentence4600	Rank 75 in student set	Rank 52 in baseline set
Sentence5333	Rank 78 in student set	Rank 56 in baseline set
Sentence6001	Rank 90 in student set	Rank 62 in baseline set
Sentence6068	Rank 92 in student set	Rank 65 in baseline set
Sentence6426	Rank 97 in student set	Rank 67 in baseline set
