0	1	2
Sentence674	Rank 13 in student set	Rank 79 in baseline set
Sentence901	Rank 24 in student set	Rank 84 in baseline set
Sentence3786	Rank 29 in student set	Rank 23 in baseline set
Sentence5338	Rank 40 in student set	Rank 61 in baseline set
Sentence1403	Rank 43 in student set	Rank 12 in baseline set
Sentence5051	Rank 45 in student set	Rank 69 in baseline set
Sentence4177	Rank 55 in student set	Rank 53 in baseline set
Sentence2853	Rank 56 in student set	Rank 22 in baseline set
Sentence823	Rank 70 in student set	Rank 44 in baseline set
Sentence4298	Rank 78 in student set	Rank 14 in baseline set
Sentence2207	Rank 88 in student set	Rank 45 in baseline set
Sentence5734	Rank 90 in student set	Rank 72 in baseline set
Sentence4498	Rank 91 in student set	Rank 35 in baseline set
Sentence3887	Rank 93 in student set	Rank 96 in baseline set
Sentence4890	Rank 96 in student set	Rank 9 in baseline set
