rank	sentence_num	score
23	Sentence5729	1.0000000000000002
24	Sentence6447	1.0000000000000002
25	Sentence320	1.0
30	Sentence1237	1.0
34	Sentence2463	1.0
37	Sentence2881	1.0
43	Sentence3247	1.0
45	Sentence3494	1.0
47	Sentence3979	1.0
52	Sentence4600	1.0
56	Sentence5333	1.0
62	Sentence6001	1.0
65	Sentence6068	1.0
67	Sentence6426	1.0
68	Sentence6446	1.0
78	Sentence3714	0.9999999999999998
6409	Sentence4890	0.5193493522538326
6412	Sentence1403	0.5161558760127245
6414	Sentence4298	0.5156234563256029
6422	Sentence2853	0.5057992257647366
6423	Sentence3786	0.5053911843644883
6435	Sentence4498	0.4866581441237685
6444	Sentence823	0.4768478806121802
6445	Sentence2207	0.4758976693005688
6453	Sentence4177	0.4675047487503391
6461	Sentence5338	0.4535156252046535
6469	Sentence5051	0.4206726597047866
6472	Sentence5734	0.40487292061528
6479	Sentence674	0.3678136411144913
6484	Sentence901	0.3421513190367632
6496	Sentence3887	0.1914989124841193
