	0	1	2	3	4	5	6	7	8	9
Sentence1	('model1-model2', 1.0000000000000002)	('model1-model3', 1.0000000000000002)	('model1-model4', 0.9943691736351927)	('model1-model5', 1.0000000000000002)	('model2-model3', 1.0000000000000002)	('model2-model4', 0.9943691736351927)	('model2-model5', 1.0000000000000002)	('model3-model4', 0.9943691736351927)	('model3-model5', 1.0000000000000002)	('model4-model5', 0.9943691736351927)
Sentence2	('model1-model2', 0.9978580979922032)	('model1-model3', 0.9702209289563669)	('model1-model4', 0.9974642756013702)	('model1-model5', 0.9930445661285742)	('model2-model3', 0.9722307785152942)	('model2-model4', 0.9946436773432962)	('model2-model5', 0.9938040226602667)	('model3-model4', 0.9638293560269864)	('model3-model5', 0.9645908777770992)	('model4-model5', 0.9933407025647571)
Sentence3	('model1-model2', 0.9863753322822524)	('model1-model3', 0.9923221032834935)	('model1-model4', 0.9902315706523344)	('model1-model5', 0.9950245102454857)	('model2-model3', 0.9877636780334881)	('model2-model4', 0.9865143687630176)	('model2-model5', 0.9833947232868422)	('model3-model4', 0.9980254484002818)	('model3-model5', 0.9872799523769551)	('model4-model5', 0.9883541387876301)
Sentence4	('model1-model2', 0.9596350717327242)	('model1-model3', 0.9430225158385254)	('model1-model4', 0.9847319278346618)	('model1-model5', 0.9921221397784366)	('model2-model3', 0.9516249587478258)	('model2-model4', 0.9189562119494701)	('model2-model5', 0.9647541683386895)	('model3-model4', 0.9557915826199321)	('model3-model5', 0.9213747698250451)	('model4-model5', 0.9617091231741031)
Sentence5	('model1-model2', 1.0)	('model1-model3', 0.9873518266871192)	('model1-model4', 0.9522643301734848)	('model1-model5', 0.9305980509143964)	('model2-model3', 0.9873518266871192)	('model2-model4', 0.9522643301734848)	('model2-model5', 0.9305980509143964)	('model3-model4', 0.9453110492414472)	('model3-model5', 0.928912977361657)	('model4-model5', 0.9801641722238567)
Sentence6	('model1-model2', 0.9786403040324861)	('model1-model3', 0.9686041262449478)	('model1-model4', 0.9233016255465025)	('model1-model5', 0.9392432177418725)	('model2-model3', 0.9878684802866905)	('model2-model4', 0.9295923403373538)	('model2-model5', 0.9515899845067293)	('model3-model4', 0.9154083120135196)	('model3-model5', 0.9445221601928444)	('model4-model5', 0.9389703055070588)
Sentence7	('model1-model2', 0.9829613825357862)	('model1-model3', 0.9770168528725579)	('model1-model4', 0.9819624614179292)	('model1-model5', 0.9600967028573122)	('model2-model3', 0.980462838680858)	('model2-model4', 0.9869089730714323)	('model2-model5', 0.9620810787736601)	('model3-model4', 0.9798513640609855)	('model3-model5', 0.9669064979867918)	('model4-model5', 0.9739879589429601)
Sentence8	('model1-model2', 0.9934473599538703)	('model1-model3', 0.9934473599538703)	('model1-model4', 0.9720479420722655)	('model1-model5', 0.9586206896551724)	('model2-model3', 1.0)	('model2-model4', 0.9663449065634321)	('model2-model5', 0.9528984881190184)	('model3-model4', 0.9663449065634321)	('model3-model5', 0.9528984881190184)	('model4-model5', 0.9650041164050751)
Sentence9	('model1-model2', 0.9541462090236772)	('model1-model3', 0.9202311812893305)	('model1-model4', 0.9484811490073979)	('model1-model5', 0.9415579458077197)	('model2-model3', 0.9363684594584539)	('model2-model4', 0.9444128296884912)	('model2-model5', 0.9419296953333282)	('model3-model4', 0.9359608408530371)	('model3-model5', 0.9293569497662942)	('model4-model5', 0.955563967736242)
Sentence10	('model1-model2', 0.8967094541621248)	('model1-model3', 0.9920634920634921)	('model1-model4', 0.9974273175796119)	('model1-model5', 0.9864308501372135)	('model2-model3', 0.8862826000439605)	('model2-model4', 0.8934570483192175)	('model2-model5', 0.8867072103682819)	('model3-model4', 0.9898710500221906)	('model3-model5', 0.9777779479430274)	('model4-model5', 0.9721240208871926)
Sentence11	('model1-model2', 0.9555555555555554)	('model1-model3', 0.9689627902499088)	('model1-model4', 0.9999999999999999)	('model1-model5', 0.9555555555555554)	('model2-model3', 0.9689627902499088)	('model2-model4', 0.9555555555555554)	('model2-model5', 0.9999999999999999)	('model3-model4', 0.9689627902499088)	('model3-model5', 0.9689627902499088)	('model4-model5', 0.9555555555555554)
Sentence12	('model1-model2', 0.9838933801848018)	('model1-model3', 0.9754808740312546)	('model1-model4', 0.9359344868787974)	('model1-model5', 0.975878929869135)	('model2-model3', 0.977343755485261)	('model2-model4', 0.9397656544614016)	('model2-model5', 0.9745449176412432)	('model3-model4', 0.909026464919504)	('model3-model5', 0.9466759761395128)	('model4-model5', 0.9755262529717015)
Sentence13	('model1-model2', 0.9869606677703878)	('model1-model3', 0.9914743374136247)	('model1-model4', 0.9822997860590258)	('model1-model5', 0.34902156216124913)	('model2-model3', 0.9971887731246952)	('model2-model4', 0.9864627825274948)	('model2-model5', 0.3598163662816674)	('model3-model4', 0.9891183801606718)	('model3-model5', 0.35623091802450574)	('model4-model5', 0.3818617273389368)
Sentence14	('model1-model2', 0.913834540655212)	('model1-model3', 0.9788832784384364)	('model1-model4', 0.9690618085752292)	('model1-model5', 0.8779962506190606)	('model2-model3', 0.9339497129352934)	('model2-model4', 0.9542417227915769)	('model2-model5', 0.8861607860422016)	('model3-model4', 0.952727338854781)	('model3-model5', 0.9294825969081812)	('model4-model5', 0.8441578216272427)
Sentence15	('model1-model2', 0.9622126094779901)	('model1-model3', 0.5155407759043524)	('model1-model4', 0.9512631339765251)	('model1-model5', 0.2465817591278564)	('model2-model3', 0.5732824891137706)	('model2-model4', 0.955836723359704)	('model2-model5', 0.18908826133267226)	('model3-model4', 0.5179976497690172)	('model3-model5', 0.006768846166891029)	('model4-model5', 0.2268963642898744)
Sentence16	('model1-model2', 0.981458484641704)	('model1-model3', 0.9714981237876326)	('model1-model4', 0.9980750703999405)	('model1-model5', 0.981458484641704)	('model2-model3', 0.9786001844780038)	('model2-model4', 0.9795692461533878)	('model2-model5', 1.0)	('model3-model4', 0.9696280582927516)	('model3-model5', 0.9786001844780038)	('model4-model5', 0.9795692461533878)
Sentence17	('model1-model2', 0.9667866667017427)	('model1-model3', 0.712298389464126)	('model1-model4', 0.9133423618174606)	('model1-model5', 0.7415038302306209)	('model2-model3', 0.6809843386022086)	('model2-model4', 0.9318371097531383)	('model2-model5', 0.7293618399382419)	('model3-model4', 0.7180944542557169)	('model3-model5', 0.8588263977410997)	('model4-model5', 0.7459035816548308)
Sentence18	('model1-model2', 0.988375997900998)	('model1-model3', 0.9898497314104564)	('model1-model4', 0.9928582094091073)	('model1-model5', 0.9943614021084853)	('model2-model3', 0.9780475021597254)	('model2-model4', 0.9896568346833162)	('model2-model5', 0.9911551804840434)	('model3-model4', 0.9912550432333975)	('model3-model5', 0.9927558087305142)	('model4-model5', 0.9984882833382404)
Sentence19	('model1-model2', 0.9912670027096696)	('model1-model3', 0.551187978521556)	('model1-model4', 0.9694355440173885)	('model1-model5', 0.995820463946327)	('model2-model3', 0.5666047850451836)	('model2-model4', 0.9678360385585103)	('model2-model5', 0.9906473642963475)	('model3-model4', 0.7201894701508872)	('model3-model5', 0.6091413991996241)	('model4-model5', 0.9839746968306788)
Sentence20	('model1-model2', 0.9774067816519351)	('model1-model3', 0.9540982988324347)	('model1-model4', 0.9857874935022491)	('model1-model5', 0.9744528821329147)	('model2-model3', 0.9707566823545711)	('model2-model4', 0.9861974616852804)	('model2-model5', 0.9900559716041009)	('model3-model4', 0.9582722417299981)	('model3-model5', 0.9743410744973235)	('model4-model5', 0.9854817536268363)
Sentence21	('model1-model2', 0.9937179772869994)	('model1-model3', 0.9971883672373644)	('model1-model4', 0.9910269891817334)	('model1-model5', 0.986609335440953)	('model2-model3', 0.9968809549477209)	('model2-model4', 0.9931298028450906)	('model2-model5', 0.9874385145766373)	('model3-model4', 0.9920737099795516)	('model3-model5', 0.9831361089887448)	('model4-model5', 0.9939024390243902)
Sentence22	('model1-model2', 0.9673268864393956)	('model1-model3', 0.9825703914805227)	('model1-model4', 0.988489532758509)	('model1-model5', 0.9800509802203162)	('model2-model3', 0.9596848408421266)	('model2-model4', 0.9715809615792835)	('model2-model5', 0.9644123523733685)	('model3-model4', 0.9827507004415899)	('model3-model5', 0.9867021276595743)	('model4-model5', 0.9799901647661922)
Sentence23	('model1-model2', 0.9894306524932558)	('model1-model3', 0.9869825229439964)	('model1-model4', 0.9988848506630345)	('model1-model5', 0.9884354519580553)	('model2-model3', 0.9932110765076595)	('model2-model4', 0.9917155891896356)	('model2-model5', 0.9994782484712493)	('model3-model4', 0.9890932316993001)	('model3-model5', 0.9924073936466224)	('model4-model5', 0.9910172333748563)
Sentence24	('model1-model2', 0.9714755700376753)	('model1-model3', 0.957878773847974)	('model1-model4', 0.9788257090983542)	('model1-model5', 0.9607264148335571)	('model2-model3', 0.9792081415249343)	('model2-model4', 0.9917947476057435)	('model2-model5', 0.9824472140424507)	('model3-model4', 0.9802545602834873)	('model3-model5', 0.9980091646328825)	('model4-model5', 0.9830904332314349)
Sentence25	('model1-model2', 0.8176316179301714)	('model1-model3', 1.0000000000000002)	('model1-model4', 0.976480165448082)	('model1-model5', 0.9777538105996055)	('model2-model3', 0.8176316179301714)	('model2-model4', 0.8003675626198987)	('model2-model5', 0.7845986714489123)	('model3-model4', 0.976480165448082)	('model3-model5', 0.9777538105996055)	('model4-model5', 0.9704949588309457)
Sentence26	('model1-model2', 1.0000000000000002)	('model1-model3', 0.972606222976249)	('model1-model4', 0.9812731916419108)	('model1-model5', 0.9902297541702849)	('model2-model3', 0.972606222976249)	('model2-model4', 0.9812731916419108)	('model2-model5', 0.9902297541702849)	('model3-model4', 0.9787005496540789)	('model3-model5', 0.972434297405737)	('model4-model5', 0.9759387643999753)
Sentence27	('model1-model2', 0.9940802739401496)	('model1-model3', 0.9977310265033132)	('model1-model4', 0.9972650957658534)	('model1-model5', 0.9950643912725298)	('model2-model3', 0.9971970778825189)	('model2-model4', 0.9968908619946703)	('model2-model5', 0.9990772413375877)	('model3-model4', 0.9970153225957828)	('model3-model5', 0.9983314969162455)	('model4-model5', 0.9979904526288156)
Sentence28	('model1-model2', 0.9921540474653264)	('model1-model3', 0.9966617074822999)	('model1-model4', 0.9970426067784385)	('model1-model5', 0.7701134824111391)	('model2-model3', 0.9913014775500755)	('model2-model4', 0.9857826875142418)	('model2-model5', 0.7534799824706933)	('model3-model4', 0.9884657704019699)	('model3-model5', 0.7312077733828448)	('model4-model5', 0.796058558665299)
Sentence29	('model1-model2', 0.9511897312113416)	('model1-model3', 0.9776375996969131)	('model1-model4', 0.980561686691842)	('model1-model5', 0.9904184936528898)	('model2-model3', 0.9602093618236651)	('model2-model4', 0.9610497575713908)	('model2-model5', 0.9350191524441016)	('model3-model4', 0.9629714263424439)	('model3-model5', 0.9796813699030884)	('model4-model5', 0.9673190427948203)
Sentence30	('model1-model2', 0.9189536012895384)	('model1-model3', 0.935139863138825)	('model1-model4', 0.7245566893732204)	('model1-model5', 0.9362047357678185)	('model2-model3', 0.9734783503099426)	('model2-model4', 0.8059562413608408)	('model2-model5', 0.9688528107907587)	('model3-model4', 0.8208729734901564)	('model3-model5', 0.9703672302730014)	('model4-model5', 0.7885511683835413)
Sentence31	('model1-model2', 0.9780589853797099)	('model1-model3', 0.9982190546862899)	('model1-model4', 0.9911660706666258)	('model1-model5', 0.9452147269041811)	('model2-model3', 0.9780762457515679)	('model2-model4', 0.9837418270543736)	('model2-model5', 0.9618976807794961)	('model3-model4', 0.9912854311610072)	('model3-model5', 0.947209835965718)	('model4-model5', 0.9525704919373144)
Sentence32	('model1-model2', 0.7119505468685441)	('model1-model3', 0.9762315140636652)	('model1-model4', 0.6462433948942625)	('model1-model5', 0.7494482666559054)	('model2-model3', 0.7704579986367914)	('model2-model4', 0.6319619216179775)	('model2-model5', 0.9953305109004031)	('model3-model4', 0.6432801402829522)	('model3-model5', 0.8101294690345543)	('model4-model5', 0.6284286644551804)
Sentence33	('model1-model2', 0.972149255883535)	('model1-model3', 0.9814484967135958)	('model1-model4', 0.9576476108497024)	('model1-model5', 0.9624695900406305)	('model2-model3', 0.976758944449111)	('model2-model4', 0.9684599619090803)	('model2-model5', 0.9897971574525176)	('model3-model4', 0.9646231847195708)	('model3-model5', 0.9787576108785705)	('model4-model5', 0.9637383182067504)
Sentence34	('model1-model2', 0.9610893513961954)	('model1-model3', 0.769602378538496)	('model1-model4', 0.9431684945066264)	('model1-model5', 0.18090680674665816)	('model2-model3', 0.7364504437623658)	('model2-model4', 0.9304685981163131)	('model2-model5', 0.12451456127293806)	('model3-model4', 0.8352678489341968)	('model3-model5', 0.4666329666137581)	('model4-model5', 0.34757066781809537)
Sentence35	('model1-model2', 0.956501723756214)	('model1-model3', 0.9550494505068579)	('model1-model4', 0.9657661312745129)	('model1-model5', 0.9743154903817325)	('model2-model3', 0.9582250031736763)	('model2-model4', 0.9615219339712529)	('model2-model5', 0.9718366517574372)	('model3-model4', 0.9625579122662904)	('model3-model5', 0.9490375762463481)	('model4-model5', 0.967768549453846)
Sentence36	('model1-model2', 0.974073588920426)	('model1-model3', 0.883406210140223)	('model1-model4', 0.9687322366999938)	('model1-model5', 0.9523309018935282)	('model2-model3', 0.9439857056186308)	('model2-model4', 0.9910292948518052)	('model2-model5', 0.9745134780773813)	('model3-model4', 0.9536697898704012)	('model3-model5', 0.9572507920087254)	('model4-model5', 0.9837867630911521)
Sentence37	('model1-model2', 0.8640526087144922)	('model1-model3', 0.855042887648935)	('model1-model4', 0.9633275663033836)	('model1-model5', 0.951735493869131)	('model2-model3', 0.9914601339836673)	('model2-model4', 0.9091372900969896)	('model2-model5', 0.8408699104652451)	('model3-model4', 0.9045154217304137)	('model3-model5', 0.8179177441354153)	('model4-model5', 0.9291434550904704)
