sentence_id	distance	rank_order
Sentence3200	6243	cat+oci+spa-eng ranked at 59, higher than baseline2021 at 6302
Sentence1912	6222	baseline2021 ranked at 224, higher than cat+oci+spa-eng at 6446
Sentence5544	6156	baseline2021 ranked at 59, higher than cat+oci+spa-eng at 6215
Sentence2699	6124	baseline2021 ranked at 337, higher than cat+oci+spa-eng at 6461
Sentence580	6089	baseline2021 ranked at 378, higher than cat+oci+spa-eng at 6467
Sentence1451	6085	baseline2021 ranked at 7, higher than cat+oci+spa-eng at 6092
Sentence5181	6034	cat+oci+spa-eng ranked at 417, higher than baseline2021 at 6451
Sentence6051	6019	cat+oci+spa-eng ranked at 319, higher than baseline2021 at 6338
Sentence1008	6017	baseline2021 ranked at 249, higher than cat+oci+spa-eng at 6266
Sentence4688	6003	baseline2021 ranked at 137, higher than cat+oci+spa-eng at 6140
Sentence2257	5934	baseline2021 ranked at 433, higher than cat+oci+spa-eng at 6367
Sentence6236	5933	baseline2021 ranked at 160, higher than cat+oci+spa-eng at 6093
Sentence4850	5926	baseline2021 ranked at 81, higher than cat+oci+spa-eng at 6007
Sentence2250	5914	baseline2021 ranked at 33, higher than cat+oci+spa-eng at 5947
Sentence1818	5878	cat+oci+spa-eng ranked at 489, higher than baseline2021 at 6367
Sentence4884	5863	baseline2021 ranked at 53, higher than cat+oci+spa-eng at 5916
Sentence5972	5849	baseline2021 ranked at 61, higher than cat+oci+spa-eng at 5910
Sentence660	5838	baseline2021 ranked at 527, higher than cat+oci+spa-eng at 6365
Sentence1003	5809	cat+oci+spa-eng ranked at 188, higher than baseline2021 at 5997
Sentence1092	5769	baseline2021 ranked at 29, higher than cat+oci+spa-eng at 5798
Sentence2174	5756	baseline2021 ranked at 468, higher than cat+oci+spa-eng at 6224
Sentence4866	5756	baseline2021 ranked at 469, higher than cat+oci+spa-eng at 6225
Sentence2127	5751	baseline2021 ranked at 9, higher than cat+oci+spa-eng at 5760
Sentence5248	5724	cat+oci+spa-eng ranked at 725, higher than baseline2021 at 6449
Sentence3596	5695	baseline2021 ranked at 214, higher than cat+oci+spa-eng at 5909
Sentence182	5662	baseline2021 ranked at 428, higher than cat+oci+spa-eng at 6090
Sentence3680	5660	baseline2021 ranked at 640, higher than cat+oci+spa-eng at 6300
Sentence2009	5659	baseline2021 ranked at 591, higher than cat+oci+spa-eng at 6250
Sentence3060	5650	baseline2021 ranked at 41, higher than cat+oci+spa-eng at 5691
Sentence5830	5615	cat+oci+spa-eng ranked at 265, higher than baseline2021 at 5880
Sentence5685	5607	baseline2021 ranked at 810, higher than cat+oci+spa-eng at 6417
Sentence6297	5606	cat+oci+spa-eng ranked at 601, higher than baseline2021 at 6207
Sentence4589	5597	baseline2021 ranked at 51, higher than cat+oci+spa-eng at 5648
Sentence2747	5588	baseline2021 ranked at 311, higher than cat+oci+spa-eng at 5899
Sentence5141	5584	baseline2021 ranked at 54, higher than cat+oci+spa-eng at 5638
Sentence1875	5575	cat+oci+spa-eng ranked at 318, higher than baseline2021 at 5893
Sentence3912	5571	cat+oci+spa-eng ranked at 581, higher than baseline2021 at 6152
Sentence5040	5557	cat+oci+spa-eng ranked at 206, higher than baseline2021 at 5763
Sentence5880	5548	baseline2021 ranked at 949, higher than cat+oci+spa-eng at 6497
Sentence6396	5545	baseline2021 ranked at 170, higher than cat+oci+spa-eng at 5715
Sentence762	5540	baseline2021 ranked at 131, higher than cat+oci+spa-eng at 5671
Sentence6473	5538	baseline2021 ranked at 744, higher than cat+oci+spa-eng at 6282
Sentence4383	5530	baseline2021 ranked at 147, higher than cat+oci+spa-eng at 5677
Sentence5849	5496	baseline2021 ranked at 328, higher than cat+oci+spa-eng at 5824
Sentence2527	5474	cat+oci+spa-eng ranked at 1004, higher than baseline2021 at 6478
Sentence4305	5463	cat+oci+spa-eng ranked at 814, higher than baseline2021 at 6277
Sentence5709	5446	cat+oci+spa-eng ranked at 513, higher than baseline2021 at 5959
Sentence6071	5423	baseline2021 ranked at 482, higher than cat+oci+spa-eng at 5905
Sentence1890	5417	cat+oci+spa-eng ranked at 703, higher than baseline2021 at 6120
Sentence4759	5413	baseline2021 ranked at 611, higher than cat+oci+spa-eng at 6024
Sentence1422	5407	cat+oci+spa-eng ranked at 291, higher than baseline2021 at 5698
Sentence3035	5403	baseline2021 ranked at 997, higher than cat+oci+spa-eng at 6400
Sentence5167	5393	baseline2021 ranked at 892, higher than cat+oci+spa-eng at 6285
Sentence5319	5356	baseline2021 ranked at 55, higher than cat+oci+spa-eng at 5411
Sentence333	5348	baseline2021 ranked at 693, higher than cat+oci+spa-eng at 6041
Sentence3581	5338	baseline2021 ranked at 914, higher than cat+oci+spa-eng at 6252
Sentence2751	5331	cat+oci+spa-eng ranked at 426, higher than baseline2021 at 5757
Sentence5090	5325	baseline2021 ranked at 119, higher than cat+oci+spa-eng at 5444
Sentence889	5313	cat+oci+spa-eng ranked at 516, higher than baseline2021 at 5829
Sentence4175	5303	cat+oci+spa-eng ranked at 967, higher than baseline2021 at 6270
Sentence2581	5285	cat+oci+spa-eng ranked at 990, higher than baseline2021 at 6275
Sentence5067	5282	cat+oci+spa-eng ranked at 783, higher than baseline2021 at 6065
Sentence5603	5275	cat+oci+spa-eng ranked at 360, higher than baseline2021 at 5635
Sentence3412	5271	cat+oci+spa-eng ranked at 1074, higher than baseline2021 at 6345
Sentence1397	5271	cat+oci+spa-eng ranked at 1162, higher than baseline2021 at 6433
Sentence2325	5270	baseline2021 ranked at 491, higher than cat+oci+spa-eng at 5761
Sentence503	5254	baseline2021 ranked at 736, higher than cat+oci+spa-eng at 5990
Sentence2079	5241	cat+oci+spa-eng ranked at 133, higher than baseline2021 at 5374
Sentence132	5226	cat+oci+spa-eng ranked at 835, higher than baseline2021 at 6061
Sentence4257	5218	baseline2021 ranked at 873, higher than cat+oci+spa-eng at 6091
Sentence5162	5195	baseline2021 ranked at 494, higher than cat+oci+spa-eng at 5689
Sentence1032	5195	baseline2021 ranked at 880, higher than cat+oci+spa-eng at 6075
Sentence2335	5190	baseline2021 ranked at 11, higher than cat+oci+spa-eng at 5201
Sentence2506	5172	baseline2021 ranked at 12, higher than cat+oci+spa-eng at 5184
Sentence4741	5164	cat+oci+spa-eng ranked at 19, higher than baseline2021 at 5183
Sentence3883	5151	cat+oci+spa-eng ranked at 1157, higher than baseline2021 at 6308
Sentence1813	5150	baseline2021 ranked at 237, higher than cat+oci+spa-eng at 5387
Sentence1063	5149	baseline2021 ranked at 1299, higher than cat+oci+spa-eng at 6448
Sentence4366	5142	baseline2021 ranked at 1135, higher than cat+oci+spa-eng at 6277
Sentence3957	5130	baseline2021 ranked at 232, higher than cat+oci+spa-eng at 5362
Sentence4605	5125	baseline2021 ranked at 1308, higher than cat+oci+spa-eng at 6433
Sentence4110	5113	baseline2021 ranked at 1298, higher than cat+oci+spa-eng at 6411
Sentence5672	5104	cat+oci+spa-eng ranked at 493, higher than baseline2021 at 5597
Sentence648	5098	baseline2021 ranked at 759, higher than cat+oci+spa-eng at 5857
Sentence406	5083	baseline2021 ranked at 755, higher than cat+oci+spa-eng at 5838
Sentence5391	5072	baseline2021 ranked at 172, higher than cat+oci+spa-eng at 5244
Sentence2684	5072	baseline2021 ranked at 895, higher than cat+oci+spa-eng at 5967
Sentence4682	5069	cat+oci+spa-eng ranked at 1190, higher than baseline2021 at 6259
Sentence5383	5066	baseline2021 ranked at 560, higher than cat+oci+spa-eng at 5626
Sentence160	5063	baseline2021 ranked at 1391, higher than cat+oci+spa-eng at 6454
Sentence733	5062	baseline2021 ranked at 114, higher than cat+oci+spa-eng at 5176
Sentence2940	5055	baseline2021 ranked at 1307, higher than cat+oci+spa-eng at 6362
Sentence2036	5054	baseline2021 ranked at 120, higher than cat+oci+spa-eng at 5174
Sentence1826	5050	baseline2021 ranked at 1297, higher than cat+oci+spa-eng at 6347
Sentence5311	5043	baseline2021 ranked at 20, higher than cat+oci+spa-eng at 5063
Sentence4606	5027	cat+oci+spa-eng ranked at 589, higher than baseline2021 at 5616
Sentence3848	5026	cat+oci+spa-eng ranked at 235, higher than baseline2021 at 5261
Sentence5086	5025	baseline2021 ranked at 1181, higher than cat+oci+spa-eng at 6206
Sentence4120	5025	baseline2021 ranked at 1434, higher than cat+oci+spa-eng at 6459
Sentence4777	5012	baseline2021 ranked at 998, higher than cat+oci+spa-eng at 6010
Sentence4197	4995	cat+oci+spa-eng ranked at 14, higher than baseline2021 at 5009
Sentence5607	4995	cat+oci+spa-eng ranked at 770, higher than baseline2021 at 5765
Sentence4035	4995	baseline2021 ranked at 884, higher than cat+oci+spa-eng at 5879
Sentence1255	4990	cat+oci+spa-eng ranked at 949, higher than baseline2021 at 5939
Sentence946	4981	cat+oci+spa-eng ranked at 863, higher than baseline2021 at 5844
Sentence246	4969	baseline2021 ranked at 1, higher than cat+oci+spa-eng at 4970
Sentence3820	4966	cat+oci+spa-eng ranked at 602, higher than baseline2021 at 5568
Sentence2831	4959	cat+oci+spa-eng ranked at 113, higher than baseline2021 at 5072
Sentence1157	4950	baseline2021 ranked at 1103, higher than cat+oci+spa-eng at 6053
Sentence5408	4947	baseline2021 ranked at 128, higher than cat+oci+spa-eng at 5075
Sentence6441	4934	baseline2021 ranked at 117, higher than cat+oci+spa-eng at 5051
Sentence2123	4924	cat+oci+spa-eng ranked at 1203, higher than baseline2021 at 6127
Sentence5432	4919	cat+oci+spa-eng ranked at 79, higher than baseline2021 at 4998
Sentence1421	4914	cat+oci+spa-eng ranked at 570, higher than baseline2021 at 5484
Sentence2118	4905	cat+oci+spa-eng ranked at 677, higher than baseline2021 at 5582
Sentence6232	4889	baseline2021 ranked at 398, higher than cat+oci+spa-eng at 5287
Sentence3554	4885	baseline2021 ranked at 46, higher than cat+oci+spa-eng at 4931
Sentence247	4884	cat+oci+spa-eng ranked at 528, higher than baseline2021 at 5412
Sentence3958	4883	baseline2021 ranked at 1238, higher than cat+oci+spa-eng at 6121
Sentence1722	4859	cat+oci+spa-eng ranked at 1153, higher than baseline2021 at 6012
Sentence1838	4858	baseline2021 ranked at 74, higher than cat+oci+spa-eng at 4932
Sentence1903	4854	cat+oci+spa-eng ranked at 105, higher than baseline2021 at 4959
Sentence297	4854	cat+oci+spa-eng ranked at 1293, higher than baseline2021 at 6147
Sentence872	4852	cat+oci+spa-eng ranked at 539, higher than baseline2021 at 5391
Sentence4131	4851	cat+oci+spa-eng ranked at 308, higher than baseline2021 at 5159
Sentence144	4848	cat+oci+spa-eng ranked at 859, higher than baseline2021 at 5707
Sentence183	4844	baseline2021 ranked at 446, higher than cat+oci+spa-eng at 5290
Sentence5718	4841	cat+oci+spa-eng ranked at 552, higher than baseline2021 at 5393
Sentence3831	4841	baseline2021 ranked at 102, higher than cat+oci+spa-eng at 4943
Sentence5322	4840	baseline2021 ranked at 442, higher than cat+oci+spa-eng at 5282
Sentence5401	4840	baseline2021 ranked at 1392, higher than cat+oci+spa-eng at 6232
Sentence5736	4826	cat+oci+spa-eng ranked at 84, higher than baseline2021 at 4910
Sentence1559	4816	baseline2021 ranked at 989, higher than cat+oci+spa-eng at 5805
Sentence218	4810	cat+oci+spa-eng ranked at 1307, higher than baseline2021 at 6117
Sentence1005	4810	baseline2021 ranked at 1625, higher than cat+oci+spa-eng at 6435
Sentence5046	4804	cat+oci+spa-eng ranked at 774, higher than baseline2021 at 5578
Sentence533	4803	baseline2021 ranked at 27, higher than cat+oci+spa-eng at 4830
Sentence6300	4799	baseline2021 ranked at 1197, higher than cat+oci+spa-eng at 5996
Sentence4527	4787	cat+oci+spa-eng ranked at 977, higher than baseline2021 at 5764
Sentence3353	4782	baseline2021 ranked at 797, higher than cat+oci+spa-eng at 5579
Sentence4921	4781	cat+oci+spa-eng ranked at 642, higher than baseline2021 at 5423
Sentence1697	4774	cat+oci+spa-eng ranked at 769, higher than baseline2021 at 5543
Sentence196	4751	cat+oci+spa-eng ranked at 1679, higher than baseline2021 at 6430
Sentence1439	4721	baseline2021 ranked at 295, higher than cat+oci+spa-eng at 5016
Sentence3905	4719	baseline2021 ranked at 185, higher than cat+oci+spa-eng at 4904
Sentence2874	4718	cat+oci+spa-eng ranked at 709, higher than baseline2021 at 5427
Sentence4849	4713	baseline2021 ranked at 1670, higher than cat+oci+spa-eng at 6383
Sentence226	4667	baseline2021 ranked at 1365, higher than cat+oci+spa-eng at 6032
Sentence2074	4662	cat+oci+spa-eng ranked at 1718, higher than baseline2021 at 6380
Sentence811	4653	cat+oci+spa-eng ranked at 1646, higher than baseline2021 at 6299
Sentence2951	4652	baseline2021 ranked at 39, higher than cat+oci+spa-eng at 4691
Sentence5604	4641	cat+oci+spa-eng ranked at 1477, higher than baseline2021 at 6118
Sentence430	4641	baseline2021 ranked at 1287, higher than cat+oci+spa-eng at 5928
Sentence6039	4640	baseline2021 ranked at 64, higher than cat+oci+spa-eng at 4704
Sentence45	4631	baseline2021 ranked at 1101, higher than cat+oci+spa-eng at 5732
Sentence1243	4628	cat+oci+spa-eng ranked at 41, higher than baseline2021 at 4669
Sentence5116	4628	cat+oci+spa-eng ranked at 1023, higher than baseline2021 at 5651
Sentence5001	4624	baseline2021 ranked at 489, higher than cat+oci+spa-eng at 5113
Sentence5425	4615	cat+oci+spa-eng ranked at 1675, higher than baseline2021 at 6290
Sentence6128	4602	baseline2021 ranked at 1164, higher than cat+oci+spa-eng at 5766
Sentence5593	4601	cat+oci+spa-eng ranked at 1656, higher than baseline2021 at 6257
Sentence4066	4590	cat+oci+spa-eng ranked at 1424, higher than baseline2021 at 6014
Sentence5645	4589	baseline2021 ranked at 1597, higher than cat+oci+spa-eng at 6186
Sentence3523	4579	cat+oci+spa-eng ranked at 698, higher than baseline2021 at 5277
Sentence2725	4568	baseline2021 ranked at 188, higher than cat+oci+spa-eng at 4756
Sentence4627	4561	cat+oci+spa-eng ranked at 1730, higher than baseline2021 at 6291
Sentence6033	4553	cat+oci+spa-eng ranked at 1374, higher than baseline2021 at 5927
Sentence1605	4542	cat+oci+spa-eng ranked at 300, higher than baseline2021 at 4842
Sentence6357	4541	cat+oci+spa-eng ranked at 383, higher than baseline2021 at 4924
Sentence5370	4541	baseline2021 ranked at 21, higher than cat+oci+spa-eng at 4562
Sentence4045	4533	cat+oci+spa-eng ranked at 969, higher than baseline2021 at 5502
Sentence620	4526	cat+oci+spa-eng ranked at 3, higher than baseline2021 at 4529
Sentence752	4522	cat+oci+spa-eng ranked at 490, higher than baseline2021 at 5012
Sentence1212	4517	baseline2021 ranked at 749, higher than cat+oci+spa-eng at 5266
Sentence5947	4514	baseline2021 ranked at 1913, higher than cat+oci+spa-eng at 6427
Sentence4453	4504	cat+oci+spa-eng ranked at 1719, higher than baseline2021 at 6223
Sentence875	4495	cat+oci+spa-eng ranked at 1032, higher than baseline2021 at 5527
Sentence140	4482	baseline2021 ranked at 791, higher than cat+oci+spa-eng at 5273
Sentence2278	4479	cat+oci+spa-eng ranked at 629, higher than baseline2021 at 5108
Sentence681	4466	baseline2021 ranked at 1455, higher than cat+oci+spa-eng at 5921
Sentence1193	4458	cat+oci+spa-eng ranked at 38, higher than baseline2021 at 4496
Sentence4680	4458	baseline2021 ranked at 1695, higher than cat+oci+spa-eng at 6153
Sentence3234	4457	baseline2021 ranked at 934, higher than cat+oci+spa-eng at 5391
Sentence3161	4456	cat+oci+spa-eng ranked at 793, higher than baseline2021 at 5249
Sentence6463	4448	baseline2021 ranked at 1126, higher than cat+oci+spa-eng at 5574
Sentence535	4442	cat+oci+spa-eng ranked at 31, higher than baseline2021 at 4473
Sentence914	4441	cat+oci+spa-eng ranked at 788, higher than baseline2021 at 5229
Sentence4719	4433	cat+oci+spa-eng ranked at 451, higher than baseline2021 at 4884
Sentence5389	4432	cat+oci+spa-eng ranked at 652, higher than baseline2021 at 5084
Sentence1949	4429	baseline2021 ranked at 728, higher than cat+oci+spa-eng at 5157
Sentence5192	4427	baseline2021 ranked at 1559, higher than cat+oci+spa-eng at 5986
Sentence4573	4411	baseline2021 ranked at 1908, higher than cat+oci+spa-eng at 6319
Sentence136	4396	cat+oci+spa-eng ranked at 1364, higher than baseline2021 at 5760
Sentence164	4390	baseline2021 ranked at 1679, higher than cat+oci+spa-eng at 6069
Sentence2264	4385	cat+oci+spa-eng ranked at 446, higher than baseline2021 at 4831
Sentence4375	4374	baseline2021 ranked at 745, higher than cat+oci+spa-eng at 5119
Sentence2984	4368	cat+oci+spa-eng ranked at 944, higher than baseline2021 at 5312
Sentence6224	4368	cat+oci+spa-eng ranked at 1440, higher than baseline2021 at 5808
Sentence4026	4367	cat+oci+spa-eng ranked at 454, higher than baseline2021 at 4821
Sentence3149	4367	cat+oci+spa-eng ranked at 684, higher than baseline2021 at 5051
Sentence2182	4358	cat+oci+spa-eng ranked at 2132, higher than baseline2021 at 6490
Sentence754	4355	cat+oci+spa-eng ranked at 1714, higher than baseline2021 at 6069
Sentence1263	4353	baseline2021 ranked at 1481, higher than cat+oci+spa-eng at 5834
Sentence1040	4343	cat+oci+spa-eng ranked at 1253, higher than baseline2021 at 5596
